Country,Advice or aid in implementation,Auditing,Barrier removal,Building codes and standards,CO2 taxes,Comparison label,Coordinating body for climate strategy,Demonstration project,Endorsement label,Energy and other taxes,Feed-in tariffs or premiums,Formal & legally binding GHG reduction target,Formal & legally binding climate strategy,Formal & legally binding energy efficiency target,Formal & legally binding renewable energy target,Funds to sub-national governments,GHG emission reduction crediting and offsetting mechanism,GHG emissions allowances,Grants and subsidies,Green certificates,Grid access and priority for renewables,Industrial air pollution standards,Information provision,Infrastructure investments,Institutional creation,Loans,Monitoring,Negotiated agreements (public-private sector),Net metering,Obligation schemes,Other mandatory requirements,Political & non-binding GHG reduction target,Political & non-binding climate strategy,Political & non-binding energy efficiency target,Political & non-binding renewable energy target,Procurement rules,Product standards,Professional training and qualification,Public voluntary schemes,RD&D funding,Removal of fossil fuel subsidies,Retirement premium,Sectoral standards,Strategic planning,Tax relief,Technology deployment and diffusion,Technology development,Tendering schemes,Unilateral commitments (private sector),User charges,Vehicle air pollution standards,Vehicle fuel-economy and emissions standards,Voluntary approaches,White certificates
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Algeria,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,3.0,1.0,,1.0,,,,,,,,,4.0,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Argentina,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,,2.0,,1.0,,,,8.0,,1.0,,4.0,5.0,10.0,4.0,6.0,,1.0,2.0,4.0,3.0,3.0,,,,3.0,3.0,2.0,1.0,,,,14.0,12.0,4.0,2.0,3.0,,,,2.0,3.0,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
Australia,25.0,5.0,,4.0,3.0,8.0,1.0,14.0,9.0,2.0,,,1.0,,3.0,4.0,4.0,1.0,43.0,3.0,1.0,,29.0,7.0,14.0,2.0,14.0,14.0,,2.0,7.0,2.0,1.0,1.0,,1.0,9.0,3.0,2.0,12.0,,,4.0,27.0,2.0,13.0,11.0,1.0,,,,2.0,5.0,
Austria,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,4.0,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Bangladesh,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,3.0,2.0,,2.0,,,,,,,,,8.0,1.0,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Belarus,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,2.0,1.0,3.0,2.0,,,,,,,,,4.0,1.0,,,,,,,,,
Belgium,2.0,,,,,1.0,,,,2.0,,1.0,2.0,2.0,1.0,1.0,,,4.0,2.0,2.0,,,,,,,,,3.0,1.0,,1.0,,,1.0,4.0,,1.0,,,,2.0,4.0,5.0,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,
Benin,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,
Bhutan,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,7.0,,,,,,,,,,
"Bolivia, Plurinational State of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
Brazil,3.0,4.0,,,,2.0,3.0,2.0,1.0,4.0,,1.0,1.0,,,2.0,,,6.0,3.0,,1.0,9.0,6.0,6.0,5.0,10.0,2.0,1.0,4.0,21.0,3.0,2.0,1.0,5.0,,10.0,6.0,2.0,6.0,,,4.0,15.0,7.0,3.0,1.0,3.0,,1.0,,4.0,1.0,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
Bulgaria,,1.0,,2.0,,,,,,,2.0,2.0,2.0,3.0,2.0,,,,3.0,,1.0,,,,1.0,,,,1.0,2.0,,,,1.0,1.0,,,2.0,,,,,1.0,13.0,2.0,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
