Source,Target,Weight,Type
0,27,0.02871102327624067,Undirected
1,10,0.02873023986778312,Undirected
2,20,0.045383958590540036,Undirected
2,28,0.034267654430193126,Undirected
3,29,0.030195146915348154,Undirected
3,4,0.025102744642723104,Undirected
4,17,0.026777113971147307,Undirected
4,22,0.026124357985981353,Undirected
4,5,0.023778455263708646,Undirected
4,39,0.019081014332730583,Undirected
6,47,0.030148327077119647,Undirected
7,46,0.036302116393649574,Undirected
7,35,0.0294716305814704,Undirected
7,8,0.026992942790700022,Undirected
8,15,0.03152904214285289,Undirected
8,16,0.026287826623504373,Undirected
9,44,0.028951622732800233,Undirected
10,20,0.04374420210902636,Undirected
10,44,0.03718459725789902,Undirected
10,29,0.03325368667280432,Undirected
10,25,0.03104161313503874,Undirected
11,14,0.0939793967798471,Undirected
11,12,0.056956153556271934,Undirected
11,29,0.05251403380891704,Undirected
13,14,0.04731633761678793,Undirected
14,33,0.036827901630533205,Undirected
15,19,0.02411510058568882,Undirected
15,48,0.016603535353535353,Undirected
15,41,0.015365612648221344,Undirected
16,17,0.030054798017788844,Undirected
18,25,0.03196236012732176,Undirected
21,30,0.02272673230428149,Undirected
21,50,0.01296296296296296,Undirected
23,25,0.0321248292191742,Undirected
23,51,0.02787514942283791,Undirected
24,43,0.052366047679085176,Undirected
24,36,0.03136796784104391,Undirected
26,36,0.03542630871353532,Undirected
27,45,0.0332503977103623,Undirected
27,40,0.011312217194570137,Undirected
28,37,0.031737727142138905,Undirected
28,47,0.03139099462628874,Undirected
28,42,0.025195678504502033,Undirected
30,44,0.028043082983430036,Undirected
31,32,0.1333786862172635,Undirected
31,34,0.11743262753864668,Undirected
31,43,0.11103520599074636,Undirected
33,34,0.05316706998516385,Undirected
35,38,0.02197884416924665,Undirected
35,53,0.017360646599777034,Undirected
45,46,0.04421322824332859,Undirected
46,52,0.027598518631127323,Undirected
49,53,0.014661654135338346,Undirected
0,7,0.02677566175589891,Undirected
0,8,0.023005979527718656,Undirected
0,15,0.026201916866878505,Undirected
0,18,0.017370167614296887,Undirected
0,22,0.022678732404132863,Undirected
0,35,0.023858792528869254,Undirected
0,45,0.01931184757271714,Undirected
