countries,diversity,Fitness,ECI,diversity_rank,Fitness_rank,ECI_rank
Republic of Korea,45.0,9.811950565791227,0.03504425150488357,1.5,7.0,8.0
Japan,45.0,11.874994868631346,0.03172002046277233,1.5,4.0,17.0
China,44.0,7.128718720667905,0.03232736851278078,3.0,13.0,14.0
Germany,43.0,12.677660969739977,0.03568215619073854,4.0,2.0,6.0
India,42.0,14.208223045848843,0.035391341888542316,5.0,1.0,7.0
Australia,41.0,7.156223375019275,0.03799173191248757,6.5,12.0,4.0
France,41.0,9.767649920308926,0.03245951109578639,6.5,8.0,13.0
Italy,40.0,10.390980096044178,0.03334631871182624,8.5,6.0,10.0
United Kingdom,40.0,8.00702395256749,0.03357237228582462,8.5,10.0,9.0
Canada,39.0,9.513215287860183,0.041892036205564524,11.0,9.0,2.0
United States of America,39.0,12.085169686732291,0.04124498450964671,11.0,3.0,3.0
Brazil,39.0,6.449235995858255,0.032077575720253416,11.0,16.0,16.0
Mexico,38.0,11.050472903306797,0.030676032863843156,13.0,5.0,18.0
Spain,37.0,4.5870780154314295,0.03661210401472981,14.0,17.0,5.0
Argentina,35.0,3.933088538771169,0.03226384451201283,15.0,21.0,15.0
Turkey,34.0,1.7665580067206608,0.023754875280559317,16.0,26.0,24.0
Indonesia,33.0,1.5461632559084328,0.02021528322098857,17.0,27.0,29.0
South Africa,32.0,4.015282922051224,0.02595038726597118,18.0,20.0,22.0
Sweden,31.0,4.245544268085425,0.046073027177339625,19.0,18.0,1.0
Denmark,29.0,2.0802623168082914,0.02127905327706216,20.0,25.0,26.0
Switzerland,28.0,7.444397952183589,0.02794472080345203,21.0,11.0,20.0
Russian Federation,27.0,0.6353524073074208,0.02066945995288987,22.0,32.0,27.0
Chile,25.0,1.181484827155172,0.02040331015641355,23.5,28.0,28.0
Norway,25.0,2.1032025939514427,0.03318351318255847,23.5,24.0,11.0
Colombia,23.0,0.7645036265525129,0.019151463550946338,25.5,30.0,32.0
Viet Nam,23.0,0.9652207357098849,0.010942675728540055,25.5,29.0,40.0
Ukraine,22.0,0.7343414980922187,0.019430130277782752,27.0,31.0,31.0
Belgium,20.0,4.06977552696865,0.02994650471314026,28.5,19.0,19.0
Saudi Arabia,20.0,6.62517320128363,0.025421868805347914,28.5,15.0,23.0
Bulgaria,18.0,0.11365933585681526,0.010439976975915045,32.0,49.0,41.0
Pakistan,18.0,0.4962066983294427,0.016137569112236134,32.0,33.0,36.0
Thailand,18.0,0.3626895008536185,0.004835905558858741,32.0,34.0,46.0
Kazakhstan,18.0,0.20922803851236746,0.012088412621123343,32.0,41.0,39.0
Uzbekistan,18.0,0.11333495583984077,0.003386193466086885,32.0,50.0,48.0
Uruguay,17.0,0.11500550964760496,0.0014120812696200593,35.5,48.0,51.0
Slovakia,17.0,0.19740432207861733,0.01769144855664699,35.5,44.0,34.0
Iran,16.0,7.018877021292469,0.022393994284460567,37.0,14.0,25.0
Malaysia,15.0,2.6015947117408658,-0.008281882713514746,38.0,22.0,61.0
Greece,14.0,0.10129343715149886,0.007126963989505467,39.5,51.0,44.0
Tunisia,14.0,0.22803546908300557,0.01951990036937274,39.5,38.0,30.0
Georgia,13.0,0.12672992379940315,0.0015329464269285096,41.0,47.0,50.0
New Zealand,12.0,0.0259213411832589,-0.02728803571943762,44.5,69.0,81.0
Austria,12.0,0.0873498518149206,0.005405195781464645,44.5,53.0,45.0
Peru,12.0,0.06842030571342747,-0.005918773867954848,44.5,57.0,58.0
Morocco,12.0,0.09708370444660472,-0.019207867422207196,44.5,52.0,73.0
Tajikistan,12.0,0.07903321214695844,-0.023231519319203992,44.5,55.0,77.0
United Arab Emirates,12.0,0.22086161651289596,-0.006165167304674025,44.5,40.0,59.0
Belarus,11.0,0.027636433455523256,-0.028242026870747353,51.5,68.0,83.0
Ecuador,11.0,0.025752834209610987,-0.012460873393693435,51.5,70.0,67.0
Nigeria,11.0,0.028520087622623314,-0.02569504335340873,51.5,67.0,79.0
Ireland,11.0,0.009088516191773675,-0.011070773805394823,51.5,81.0,64.0
Philippines,11.0,0.009783184609996854,-0.024142378277941134,51.5,80.0,78.0
Bhutan,11.0,0.13047990286303832,-0.007219654078683598,51.5,46.0,60.0
Kuwait,11.0,2.1575568870988064,0.032461824601685334,51.5,23.0,12.0
