Economy,Code,Code to GeoJSON,Region,Income group,Lending category,Other (EMU or HIPC)
Aruba,ABW,ABW,Latin America & Caribbean,High income,,
Afghanistan,AFG,AFG,South Asia,Low income,IDA,HIPC
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,IBRD,
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,IBRD,
Andorra,AND,AND,Europe & Central Asia,High income,,
United Arab Emirates,ARE,ARE,Middle East & North Africa,High income,,
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,IBRD,
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,IBRD,
American Samoa,ASM,ASM,East Asia & Pacific,Upper middle income,,
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,IBRD,
Australia,AUS,AUS,East Asia & Pacific,High income,,
Austria,AUT,AUT,Europe & Central Asia,High income,,EMU
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,IBRD,
Burundi,BDI,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Belgium,BEL,BEL,Europe & Central Asia,High income,,EMU
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Burkina Faso,BFA,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Bangladesh,BGD,BGD,South Asia,Lower middle income,IDA,
Bulgaria,BGR,BGR,Europe & Central Asia,Upper middle income,IBRD,
Bahrain,BHR,BHR,Middle East & North Africa,High income,,
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,,
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,IBRD,
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,IBRD,
Belize,BLZ,BLZ,Latin America & Caribbean,Lower middle income,IBRD,
Bermuda,BMU,BMU,North America,High income,,
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Brazil,BRA,BRA,Latin America & Caribbean,Upper middle income,IBRD,
Barbados,BRB,BRB,Latin America & Caribbean,High income,,
Brunei Darussalam,BRN,BRN,East Asia & Pacific,High income,,
Bhutan,BTN,BTN,South Asia,Lower middle income,IDA,
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,IBRD,
